Rank,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,SOS_NetRtg,SOS_ORtg,SOS_DRtg,NCSOS_NetRtg
142,Portland St.,BSky,20-10,1.85,104.0,102.2,67.9,0.025,-1.62,110.4,112.0,1.88
143,Troy,SB,22-11,1.73,110.9,109.2,64.9,0.024,-2.90,108.1,111.0,4.54
144,Richmond,A10,15-16,1.71,111.8,110.1,67.8,-0.086,0.53,109.8,109.3,-8.75
145,Robert Morris,Horz,22-11,1.62,110.9,109.2,64.5,0.029,-4.27,109.4,113.7,-1.29
146,William & Mary,CAA,20-12,1.55,111.3,109.7,72.6,0.024,-1.67,108.7,110.4,0.78
147,Bowling Green,MAC,18-13,1.53,107.4,105.9,68.4,-0.079,-3.24,108.5,111.7,-5.91
148,Arkansas St.,SB,20-12,1.40,110.9,109.5,72.0,0.008,-3.49,107.6,111.1,3.13
149,Harvard,Ivy,17-11,1.34,107.7,106.4,63.1,0.002,-3.24,108.3,111.5,-4.73
150,Central Arkansas,ASun,22-12,1.22,110.4,109.2,68.0,0.041,-5.09,109.5,114.6,5.99
151,Winthrop,BSth,23-11,1.18,111.9,110.7,70.1,0.025,-4.40,107.4,111.8,1.52
152,Towson,CAA,19-15,1.15,106.1,104.9,63.5,0.012,-0.50,109.5,110.0,3.45
153,Kent St.,MAC,23-8,1.13,112.2,111.1,70.5,0.151,-2.71,109.6,112.3,-2.98
154,Boston College,ACC,11-20,1.12,104.1,103.0,66.0,-0.035,6.99,113.5,106.5,-7.05
155,UC Davis,BW,18-13,1.06,109.3,108.3,68.3,0.038,-0.08,108.4,108.5,2.12
156,UT Arlington,WAC,17-13,1.01,103.1,102.0,65.0,0.037,0.93,109.2,108.3,3.74
157,Cornell,Ivy,15-12,1.00,119.8,118.8,71.6,-0.026,-1.43,108.3,109.8,-0.34
158,Valparaiso,MVC,18-15,0.96,108.4,107.4,65.2,0.041,1.15,109.6,108.5,-5.73
159,St. Bonaventure,A10,15-16,0.91,113.8,112.8,67.2,-0.042,1.51,109.6,108.1,-4.15
160,Loyola Marymount,WCC,15-17,0.81,106.8,106.0,67.0,-0.045,1.06,110.1,109.1,-5.23
161,Temple,Amer,16-15,0.71,112.7,112.0,65.1,-0.062,-1.34,108.0,109.3,-2.53
162,Penn,Ivy,16-11,0.70,107.8,107.1,69.3,0.044,-0.79,109.3,110.1,0.93
163,Georgia Tech,ACC,11-20,0.65,108.2,107.5,70.7,-0.039,6.66,112.2,105.6,-9.38
164,Idaho,BSky,19-14,0.60,109.2,108.6,67.6,-0.022,-1.28,109.9,111.2,1.13
165,Eastern Washington,BSky,14-18,0.56,113.9,113.4,67.6,-0.058,1.11,110.6,109.4,7.78
166,East Tennessee St.,SC,23-11,0.49,110.0,109.5,66.1,-0.021,-7.63,107.1,114.8,-3.92
167,Western Kentucky,CUSA,18-13,0.37,108.5,108.2,69.7,0.017,-0.62,110.0,110.7,1.69
168,Fordham,A10,17-14,0.36,105.1,104.7,64.5,-0.044,-2.34,108.0,110.3,-15.83
169,Cal St. Fullerton,BW,17-15,0.29,110.6,110.3,72.6,0.046,1.55,110.0,108.4,6.78
170,Oakland,Horz,16-16,0.17,115.4,115.2,69.9,0.016,0.20,110.9,110.7,17.59
171,Middle Tennessee,CUSA,17-14,-0.00,109.3,109.4,65.6,0.018,1.19,110.3,109.1,11.54
172,Charleston,CAA,21-11,-0.16,108.3,108.5,67.7,0.105,-1.72,109.4,111.1,-1.30
173,Merrimack,MAAC,23-10,-0.19,107.6,107.8,63.4,0.126,-5.53,105.5,111.0,3.81
174,Austin Peay,ASun,22-9,-0.34,108.2,108.5,69.5,0.033,-6.29,108.9,115.2,2.28
175,Texas A&M Corpus Chris,Slnd,18-14,-0.44,105.3,105.8,66.2,0.018,-0.06,109.1,109.1,16.95
176,Northern Kentucky,Horz,20-14,-0.59,109.7,110.3,70.2,-0.022,-4.04,110.5,114.5,-3.74
177,Oregon St.,WCC,17-16,-0.60,109.4,110.0,65.1,0.097,3.50,110.7,107.2,-1.32
178,CSUN,BW,19-13,-0.62,108.3,108.9,73.8,0.078,-0.09,108.6,108.7,1.31
179,Monmouth,CAA,19-14,-0.88,106.4,107.2,67.1,0.023,-2.54,107.5,110.0,-3.34
180,Kennesaw St.,CUSA,18-13,-0.99,109.9,110.9,71.4,-0.009,-2.27,108.5,110.8,-5.06
181,Campbell,CAA,16-18,-1.41,111.5,112.9,69.8,0.009,1.17,109.7,108.5,8.04
182,Montana,BSky,17-15,-1.46,107.5,109.0,69.4,0.041,0.13,111.0,110.8,5.80
183,Queens,ASun,21-13,-1.49,116.0,117.5,69.7,0.067,-5.36,108.8,114.1,5.96
184,Utah Tech,WAC,18-14,-1.55,111.0,112.6,66.0,0.096,1.17,108.0,106.9,4.06
185,New Mexico St.,CUSA,15-15,-1.69,110.2,111.8,66.9,-0.068,-1.24,108.5,109.7,1.06
186,Tennessee St.,OVC,23-9,-1.80,109.4,111.2,70.3,0.070,-7.90,103.7,111.6,5.97
187,Furman,SC,22-12,-1.90,107.8,109.7,65.9,0.010,-5.87,108.6,114.5,-0.23
188,Mercer,SC,19-13,-1.92,112.1,114.0,69.0,-0.021,-4.99,108.7,113.7,4.33
189,Columbia,Ivy,16-12,-1.92,108.8,110.8,66.7,0.012,-3.09,108.5,111.6,-5.05
190,FIU,CUSA,15-16,-1.95,107.7,109.7,71.8,-0.039,-0.92,109.1,110.0,0.24
191,New Orleans,Slnd,15-18,-2.15,109.9,112.1,69.8,0.038,0.94,108.8,107.9,14.52
192,Charlotte,Amer,15-16,-2.25,112.8,115.0,63.4,0.010,0.42,109.7,109.3,-0.44
193,Appalachian St.,SB,19-13,-2.38,106.1,108.5,63.0,0.015,-5.24,107.4,112.6,-3.05
194,Weber St.,BSky,16-16,-2.60,111.8,114.4,68.6,-0.031,-1.56,108.8,110.4,-0.73
195,Drake,MVC,14-20,-2.61,110.2,112.9,67.3,-0.060,2.41,109.8,107.4,-3.76
196,Siena,MAAC,22-11,-2.68,107.6,110.3,64.6,0.002,-9.40,103.3,112.7,-7.41
197,Portland,WCC,15-19,-2.80,106.4,109.2,68.5,0.064,4.08,111.7,107.6,1.11
198,Lipscomb,ASun,19-13,-2.82,107.2,110.0,69.4,0.044,-4.88,109.2,114.0,5.09
199,UMBC,AE,22-8,-2.84,107.7,110.5,66.2,0.048,-14.40,101.1,115.5,-6.81
200,Indiana St.,MVC,11-21,-2.89,106.5,109.4,68.1,-0.110,1.55,109.0,107.4,-5.37
201,Massachusetts,MAC,16-15,-2.92,108.9,111.8,70.1,-0.057,-4.02,107.7,111.7,-6.27
202,Howard,MEAC,21-10,-3.01,103.9,106.9,69.1,-0.023,-13.46,101.2,114.7,-1.34
203,Marist,MAAC,19-12,-3.06,99.8,102.8,66.4,-0.027,-8.58,104.4,113.0,-7.02
204,Jacksonville St.,CUSA,15-16,-3.18,105.7,108.9,65.4,-0.050,-2.70,108.2,110.9,-6.01
205,Marshall,SB,19-13,-3.18,112.4,115.5,69.3,0.034,-3.88,107.8,111.7,-0.75
206,South Alabama,SB,21-11,-3.19,107.2,110.4,64.7,0.058,-5.76,106.5,112.2,-5.09
207,Buffalo,MAC,17-14,-3.25,113.1,116.3,66.5,-0.015,-3.90,107.5,111.4,-6.56
208,Louisiana Tech,CUSA,18-13,-3.31,102.2,105.5,64.5,0.040,-2.94,108.3,111.3,-6.85
209,Green Bay,Horz,18-15,-3.50,112.8,116.3,62.9,0.064,-1.78,110.5,112.3,6.67
210,Tulane,Amer,17-14,-3.66,108.0,111.7,67.0,0.125,0.62,108.8,108.2,-3.30
211,Cal Poly,BW,14-18,-3.86,109.9,113.8,74.1,0.009,1.44,109.2,107.7,5.48
212,Samford,SC,18-14,-3.86,109.9,113.8,67.3,0.009,-5.55,108.5,114.0,0.69
213,James Madison,SB,18-15,-3.90,109.4,113.3,66.0,0.017,-4.55,107.0,111.6,-2.30
214,Missouri St.,CUSA,14-17,-3.94,108.2,112.2,65.9,-0.057,-1.46,108.4,109.8,-0.75
215,Tarleton St.,WAC,14-17,-3.97,104.4,108.4,69.0,-0.031,1.37,108.6,107.3,4.35
216,Youngstown St.,Horz,15-17,-3.99,105.7,109.7,67.3,-0.092,-3.50,109.9,113.4,-1.44
217,LIU,NEC,23-10,-4.07,105.6,109.7,67.8,0.102,-9.45,104.2,113.6,2.47
218,Quinnipiac,MAAC,19-13,-4.22,104.5,108.7,69.9,0.027,-7.08,104.5,111.5,1.71
219,Southern Miss,SB,19-16,-4.23,105.5,109.7,69.3,0.043,-3.40,107.6,111.0,1.33
220,Detroit Mercy,Horz,17-14,-4.24,108.9,113.2,68.8,0.082,-2.24,109.9,112.2,8.00
221,South Dakota St.,Sum,14-18,-4.30,108.3,112.6,66.8,-0.117,-2.76,108.1,110.9,2.90
222,Drexel,CAA,17-16,-4.64,102.7,107.3,64.3,0.003,-4.01,106.8,110.8,-7.59
223,Tennessee Martin,OVC,22-11,-4.89,100.7,105.6,64.2,0.048,-8.53,103.3,111.8,0.34
224,San Diego,WCC,12-21,-4.99,108.5,113.5,68.0,0.003,2.57,110.0,107.4,-2.02
225,La Salle,A10,9-22,-5.17,105.6,110.8,65.6,-0.029,5.65,111.7,106.0,4.40
226,Rice,Amer,13-18,-5.23,108.8,114.0,65.6,0.009,0.01,109.2,109.2,-1.75
227,Ohio,MAC,15-16,-5.27,108.2,113.5,68.8,0.032,-1.18,109.2,110.4,1.26
228,Stony Brook,CAA,17-15,-5.46,105.5,111.0,66.3,0.064,-2.54,107.3,109.8,-3.94
229,Western Carolina,SC,15-16,-5.49,109.5,115.0,67.8,-0.015,-3.61,109.2,112.8,10.23
230,Elon,CAA,14-18,-5.63,110.4,116.0,66.9,-0.030,-1.97,108.8,110.8,-2.66
231,Southeast Missouri,OVC,20-13,-5.85,102.4,108.3,68.9,0.031,-7.72,104.4,112.1,4.78
232,Vermont,AE,21-11,-5.86,107.4,113.3,65.0,0.000,-10.72,103.4,114.1,-1.99
233,Long Beach St.,BW,10-22,-5.88,105.7,111.6,68.6,-0.030,1.22,109.1,107.9,4.64
234,Denver,Sum,15-17,-5.95,116.2,122.2,67.9,0.007,-1.30,109.5,110.8,8.30
235,Georgia Southern,SB,21-16,-6.08,110.5,116.6,70.1,0.057,-5.48,106.2,111.7,-6.38
236,San Jose St.,MWC,8-23,-6.10,111.6,117.7,64.9,-0.019,7.05,113.3,106.2,2.30
237,Bethune Cookman,SWAC,17-14,-6.21,103.9,110.1,69.3,0.084,-6.70,105.5,112.2,14.16
238,Nicholls,Slnd,14-19,-6.21,106.0,112.2,68.2,0.044,0.24,108.9,108.6,10.03
239,Lamar,Slnd,12-19,-6.25,103.3,109.5,65.6,-0.089,-2.36,107.6,109.9,-0.28
240,Eastern Michigan,MAC,10-21,-6.38,102.0,108.4,66.5,-0.096,-0.20,110.2,110.4,2.22
241,American,PL,16-16,-6.39,105.8,112.2,66.7,-0.024,-7.61,105.7,113.3,0.79
242,Charleston Southern,BSth,15-17,-6.41,106.1,112.5,71.6,-0.090,-6.01,106.4,112.4,-5.10
243,Florida Gulf Coast,ASun,16-18,-6.64,105.8,112.4,67.6,-0.029,-5.58,108.5,114.0,0.41
244,Texas St.,SB,19-13,-6.66,104.3,110.9,66.1,0.084,-6.54,105.7,112.3,-8.81
245,UNC Asheville,BSth,15-17,-6.68,105.1,111.7,64.8,-0.016,-3.34,108.4,111.7,1.53
246,Abilene Christian,WAC,13-18,-6.74,100.9,107.6,67.5,0.026,0.94,108.9,108.0,1.32
247,Coastal Carolina,SB,19-13,-6.86,102.0,108.9,66.9,0.132,-4.64,107.2,111.9,-1.84
248,Old Dominion,SB,12-21,-6.90,106.4,113.3,69.0,-0.073,-2.64,108.7,111.4,5.27
249,Idaho St.,BSky,13-20,-7.02,109.7,116.7,65.6,-0.035,-0.27,109.6,109.8,3.82
250,Colgate,PL,18-15,-7.06,107.9,115.0,66.9,0.044,-6.71,106.6,113.3,5.44
251,Princeton,Ivy,9-20,-7.07,105.6,112.7,63.5,-0.077,-0.56,109.6,110.2,-0.18
252,Southern Utah,WAC,10-21,-7.09,107.3,114.4,70.2,-0.046,2.55,109.2,106.7,6.10
253,Boston University,PL,17-16,-7.28,112.6,119.8,63.2,-0.023,-8.37,104.6,113.0,-4.45
254,Wofford,SC,19-13,-7.29,109.4,116.7,67.9,0.073,-7.24,108.4,115.7,-4.03
255,East Carolina,Amer,11-20,-7.42,103.8,111.2,68.7,-0.006,-0.20,110.0,110.2,-2.72
256,Saint Peter's,MAAC,17-12,-7.56,103.2,110.7,65.6,0.066,-7.72,104.4,112.1,-0.90
257,SIUE,OVC,19-13,-7.61,99.8,107.4,64.4,-0.007,-10.47,102.8,113.3,-7.44
258,Radford,BSth,16-16,-7.64,106.5,114.2,70.6,-0.036,-6.80,106.3,113.1,-6.10
259,Iona,MAAC,18-14,-7.71,104.2,111.9,68.8,0.041,-8.33,104.4,112.8,-2.69
260,UC Riverside,BW,10-22,-7.79,104.1,111.9,68.6,-0.048,1.81,109.9,108.1,6.70
261,Purdue Fort Wayne,Horz,17-15,-7.85,105.6,113.4,67.7,0.118,-1.47,110.9,112.4,8.03
262,Nebraska Omaha,Sum,16-17,-7.97,106.4,114.4,67.1,0.033,-2.43,109.0,111.5,3.58
263,Pepperdine,WCC,9-23,-8.06,105.5,113.6,68.6,-0.018,3.37,110.7,107.3,-1.81
264,Fairfield,MAAC,21-13,-8.15,106.0,114.2,67.0,0.078,-9.34,103.3,112.6,-8.37
265,Sacramento St.,BSky,10-21,-8.31,106.0,114.3,71.8,-0.022,1.76,111.0,109.3,9.22
266,Incarnate Word,Slnd,12-19,-8.43,109.0,117.5,65.5,-0.028,-1.12,108.0,109.1,7.19
267,Lindenwood,OVC,18-15,-8.51,100.8,109.3,72.4,0.017,-8.55,103.5,112.1,2.34
268,Milwaukee,Horz,12-20,-8.85,106.6,115.5,67.4,0.013,-1.32,111.0,112.3,6.84
269,Presbyterian,BSth,15-18,-9.03,103.5,112.5,64.2,-0.020,-4.55,107.4,112.0,-1.65
270,Central Michigan,MAC,10-21,-9.09,106.1,115.2,67.1,-0.098,-1.33,108.8,110.1,1.62
271,Longwood,BSth,16-16,-9.12,103.7,112.9,68.5,-0.036,-8.06,104.9,112.9,-10.36
272,Hampton,CAA,13-19,-9.12,102.8,111.9,65.4,-0.013,-3.36,106.8,110.1,-7.02
273,Western Michigan,MAC,10-21,-9.23,108.0,117.2,67.7,-0.036,-0.96,108.9,109.9,-1.77
274,Dartmouth,Ivy,11-16,-9.30,105.0,114.3,69.5,0.000,-1.88,108.9,110.8,-4.10
275,Southern,SWAC,15-16,-9.50,104.5,114.0,70.5,0.043,-5.35,106.2,111.5,15.50
