
"Oral Roberts",102.776,114.666,0.221157,10-23,10,33,49.7,53.6,34.8,39.1,18.5,14.7,28.4,31.8,67.6765,51.1,52.2,32,37.4,0,0,47.1,46,45.6,36.6,67.6765,,,,2026,,,,-17.5156,74,
Ohio,108.787,113.324,0.38463,15-16,15,31,51,53,36.2,37.9,15.4,16.4,28.4,33,68.8704,54.4,51.9,30.3,36.8,0,0,46.5,47.4,38,33.6,68.8704,,,,2026,,,,-10.5765,70.8,
Winthrop,110.871,111.333,0.488057,23-11,23,34,49.7,51.4,44,39,14.7,16.7,34.1,27.7,69.9129,49.7,53,33.2,32.9,0,0,51.6,45,44.1,42.8,69.9129,,,,2026,,,,-5.47989,72.9,
"Northern Illinois",96.2508,114.055,0.124358,9-21,9,30,47.6,55.6,38.3,38.3,21.8,16.3,30.3,30,67.4159,48.5,56.3,30.9,36.3,0,0,51.8,53.9,45,37.7,67.4159,,,,2026,,,,-15.3061,65.7,
"Georgia Tech",107.694,107.332,0.509704,11-20,11,31,50,49.9,33.3,34.2,18.6,15.6,29.9,30.7,70.8574,48.7,50.1,35.1,33.1,0,0,59.9,56.3,33.2,44.4,70.8574,,,,2026,,,,-9.63626,71.1,
"Kent St.",111.273,110.921,0.50909,23-8,23,31,52.5,52.2,44.5,39,18.6,16.5,35.8,29.7,70.7788,51.7,51.7,35.6,35.3,0,0,57.5,54.9,45.6,42.8,70.7788,,,,2026,,,,-3.2231,74.1,
"High Point",116.407,108.032,0.702364,30-4,30,34,54.7,50.1,42.9,36.4,13,21.9,32.1,31.7,69.8912,57.1,51.6,34.4,31.9,0,0,52.7,51.9,42.9,41.4,69.8912,,,,2026,,,,-1.28431,74.2,
"Weber St.",111.507,114.204,0.431706,16-15,16,31,51.6,54.3,39,35.9,15.8,16.2,32,27.5,68.5539,51.4,57.1,34.8,33.3,0,0,46.6,49.9,32.8,38.8,68.5539,,,,2026,,,,-9.73737,72.6,
Maine,92.9053,112.116,0.103265,8-24,8,32,49.6,50.6,38.4,33.9,19.1,19.4,19.7,34.3,64.7342,51.2,54.5,31.2,29.3,0,0,54.4,52.4,37,36.8,64.7342,,,,2026,,,,-20.4369,64.3,
Radford,107.141,113.68,0.335973,16-16,16,32,51.3,53,42.4,40,17.1,18.5,29.8,32.2,70.66,52.3,52.9,33.5,35.5,0,0,45.7,54.3,45.4,37.9,70.66,,,,2026,,,,-11.7041,71,
Kansas,119.536,95.0702,0.932988,22-9,22,31,52.5,45.1,31.6,27.4,15.6,13.8,29.4,30.2,67.5254,52.2,45.1,35.4,30,0,0,53.7,48.2,35.7,42.3,67.5254,,,,2026,,,,5.91219,76.7,
SMU,124.095,106.685,0.850485,19-12,19,31,55.9,51.6,32.1,32.6,15.8,17.2,35,31.6,68.9905,55.5,51.5,37.8,34.4,0,0,55.3,61.3,35.3,46.9,68.9905,,,,2026,,,,-0.0417051,74.2,
Richmond,110.903,110.681,0.505769,15-16,15,31,52.9,51.7,37.2,34.6,14.5,17.6,25.1,31.1,67.6281,50.5,54.1,37.5,32.5,0,0,54.5,47.8,42.2,45.2,67.6281,,,,2026,,,,-9.90077,75.2,
Providence,121.788,110.066,0.762024,14-17,14,31,54.9,51.6,37,33.1,16.9,13.2,32.6,30.7,71.2666,55.6,50.3,35.8,35.7,0,0,47.8,54.8,40.9,39,71.2666,,,,2026,,,,-5.1933,76.1,
Louisville,125.948,99.2891,0.939067,22-9,22,31,56.8,48.6,33.5,33.7,16.3,16.7,33.1,26.6,70.0851,59.6,48.5,36.3,32.6,0,0,60,48.8,53.2,39.4,70.0851,,,,2026,,,,3.98004,77.1,
Davidson,111.583,104.028,0.6913,19-12,19,31,53,50.6,32,36.5,16.1,17.7,28.8,30.2,63.7569,52.2,51.9,36,32.4,0,0,53,48.4,43.7,37.1,63.7569,,,,2026,,,,-5.03912,64.3,
"North Florida",107.657,124.448,0.158854,7-25,7,32,52.9,56.3,28.8,31.4,17.9,12.7,25.2,37.6,70.423,53.4,58.7,35,35.1,0,0,50.6,52.2,51.7,39,70.423,,,,2026,,,,-18.8945,77.8,
"Missouri St.",109.107,111.629,0.434666,14-17,14,31,50.3,52.2,44.3,41.2,16.9,17.1,32.2,31.4,65.5941,51.5,51.9,32.4,35.2,0,0,56.4,50.8,41,35.9,65.5941,,,,2026,,,,-12.271,67.9,
