Team,TeamID,Season,BT_AdjOE,BT_AdjDE,BT_Barthag,BT_AdjT,BT_EFG_O,BT_EFG_D,BT_OR_Pct,BT_DR_Pct,BT_FTR,BT_FTRD,BT_AdjNetEff
Towson,1406.0,2026,104.643,105.22,0.484201,63.406,46.5,48.5,36.0,29.1,15.9,15.2,-8.77301
Delaware St.,1175.0,2026,89.1753,115.479,0.0486813,65.915,42.6,54.1,27.1,31.7,19.8,20.1,-18.6717
Norfolk St.,1313.0,2026,101.86,117.891,0.156993,67.844,49.3,51.6,32.1,32.0,18.5,18.8,-12.3309
Vermont,1436.0,2026,106.117,113.587,0.313819,64.8062,53.5,50.7,26.3,22.6,14.3,14.7,-8.51673
Liberty,1251.0,2026,118.505,113.18,0.629197,63.8002,60.2,52.7,18.6,32.8,13.8,17.3,-1.20063
UNC Wilmington,1423.0,2026,111.222,107.29,0.602028,64.8814,50.9,47.2,35.4,26.7,15.0,15.0,-2.63546
Le Moyne,1478.0,2026,101.464,113.767,0.211457,69.475,52.7,49.3,25.2,29.1,19.1,15.0,-13.6742
Presbyterian,1342.0,2026,103.311,113.129,0.260373,64.1875,51.0,51.2,33.1,30.6,19.3,15.7,-13.6041
Michigan,1276.0,2026,129.347,91.8307,0.980911,71.6995,58.7,44.2,36.0,28.1,16.9,15.8,12.8303
Bellarmine,1468.0,2026,115.535,128.37,0.229434,64.6059,59.4,59.4,22.4,34.2,15.5,15.0,-14.2926
East Carolina,1187.0,2026,104.074,111.794,0.305138,68.6397,46.4,52.3,33.4,32.5,17.1,16.2,-13.7175
Northwestern,1321.0,2026,116.512,104.445,0.778567,65.4008,51.3,50.6,28.0,34.7,13.1,17.4,-4.23809
Eastern Illinois,1183.0,2026,97.2533,112.903,0.152398,65.6119,45.7,50.8,28.2,35.2,18.6,19.3,-15.1465
Buffalo,1138.0,2026,112.361,116.868,0.388828,66.4191,55.3,55.2,27.4,31.3,16.0,18.0,-9.64276
Northern Kentucky,1297.0,2026,109.547,110.595,0.472662,69.9838,53.2,54.2,32.2,31.6,16.3,18.6,-9.47483
Valparaiso,1434.0,2026,108.159,107.675,0.512897,65.1089,47.6,50.5,32.5,30.1,15.7,16.9,-8.17881
Mercyhurst,1479.0,2026,101.727,111.327,0.261733,64.5409,49.4,49.8,26.7,30.2,14.4,19.0,-12.2709
Elon,1189.0,2026,108.783,116.896,0.304238,66.8185,52.2,54.0,32.2,33.5,15.9,16.4,-13.0581
Appalachian St.,1111.0,2026,105.992,107.455,0.460654,62.9466,49.9,47.5,32.0,29.0,15.3,14.0,-9.03401
West Georgia,1480.0,2026,102.736,113.826,0.235274,69.0737,49.6,53.4,31.5,29.0,15.9,14.7,-12.351
Cleveland St.,1156.0,2026,110.251,123.932,0.206651,69.553,54.2,57.2,27.0,36.6,17.8,15.1,-16.7809
Mississippi St.,1280.0,2026,113.832,106.587,0.680539,69.4361,51.7,51.0,30.0,30.8,16.1,12.9,-5.24161
Utah Tech,1469.0,2026,111.18,112.846,0.457339,66.1672,53.0,50.7,28.4,34.5,17.4,16.9,-7.36454
St. John's,1385.0,2026,119.255,95.9102,0.924514,69.7879,51.0,47.7,35.9,30.1,14.7,19.4,5.71649
Long Beach St.,1253.0,2026,104.613,111.297,0.329106,68.4064,50.6,53.7,26.2,27.8,18.0,17.5,-15.6604
Samford,1359.0,2026,108.423,114.469,0.34886,67.3002,53.1,51.9,25.3,25.7,13.4,13.0,-9.66432
Eastern Washington,1186.0,2026,113.947,112.639,0.533137,67.7568,54.0,54.9,31.5,31.5,17.9,16.5,-11.3707
Kansas St.,1243.0,2026,112.526,105.801,0.670107,72.5916,53.1,52.1,29.3,33.7,17.5,17.2,-6.14286
Pepperdine,1337.0,2026,105.979,113.825,0.305494,68.3439,47.6,54.2,29.1,34.0,18.3,16.5,-14.9967
Charleston,1158.0,2026,107.422,109.184,0.453366,67.7124,50.5,49.2,29.9,32.3,15.7,14.7,-6.072
UC San Diego,1471.0,2026,107.297,102.974,0.616072,67.32,52.9,48.4,26.3,27.2,16.3,16.9,-5.04818
Grambling St.,1212.0,2026,97.1617,107.851,0.231422,67.4574,48.9,50.2,30.4,32.2,21.2,20.8,-13.8558
Texas Southern,1411.0,2026,102.928,115.041,0.217638,68.5019,50.0,52.4,28.6,31.3,18.6,16.4,-11.9481
Central Connecticut,1148.0,2026,105.355,118.007,0.213461,64.8455,51.6,50.2,27.5,30.4,16.2,14.0,-9.35418
VMI,1440.0,2026,99.3442,124.819,0.0675398,66.8157,47.6,57.0,25.6,37.2,15.3,15.7,-22.1821
Auburn,1120.0,2026,125.426,107.526,0.854558,67.3273,52.7,54.1,38.0,32.5,14.7,16.5,0.0351727
New Orleans,1309.0,2026,109.298,111.749,0.436577,69.7229,49.6,49.0,35.6,34.5,20.5,14.9,-10.4603
Idaho St.,1226.0,2026,109.302,117.46,0.304113,65.2122,51.8,54.5,32.8,27.9,17.0,14.7,-13.9827
Columbia,1162.0,2026,108.655,111.371,0.429507,66.7289,53.5,51.2,36.1,27.2,19.3,15.0,-7.5876
