Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
128,Maryland,B10,11-20,3.36,111.3,107.9,66.1,0.014,14.95,117.9,103.0,1.71,1268.0,2026
129,Rutgers,B10,13-18,3.32,111.0,107.7,66.6,0.037,11.02,115.3,104.3,-7.21,1353.0,2026
130,Memphis,Amer,13-18,3.22,107.7,104.4,70.2,-0.05,5.98,113.0,107.0,10.86,1272.0,2026
131,Fresno St.,MWC,13-18,3.14,107.9,104.8,68.3,-0.069,5.01,112.7,107.7,-2.52,1201.0,2026
132,Montana St.,BSky,18-14,3.01,111.1,108.1,66.0,-0.083,0.37,111.1,110.7,6.77,1286.0,2026
133,Duquesne,A10,17-14,2.91,110.7,107.8,69.1,-0.011,2.38,110.8,108.4,-6.0,1182.0,2026
134,Rhode Island,A10,16-15,2.87,106.1,103.2,66.0,-0.039,1.07,110.0,108.9,-5.07,1348.0,2026
135,Toledo,MAC,17-14,2.65,115.0,112.3,67.9,-0.065,-0.99,109.9,110.9,2.45,1405.0,2026
136,Washington St.,WCC,12-20,2.41,114.2,111.8,67.9,-0.094,5.48,111.5,106.0,5.4,1450.0,2026
137,Penn St.,B10,12-19,2.31,114.5,112.2,67.5,-0.005,10.89,116.1,105.2,-6.84,1336.0,2026
138,Wright St.,Horz,22-11,2.1,113.1,111.0,67.2,-0.002,-3.71,109.8,113.6,1.22,1460.0,2026
139,North Texas,Amer,18-13,2.04,103.9,101.9,64.8,0.011,0.75,110.2,109.4,0.2,1317.0,2026
140,Northern Colorado,BSky,20-12,1.97,112.5,110.5,68.8,-0.024,-1.68,109.7,111.3,0.22,1294.0,2026
141,Navy,PL,26-7,1.85,107.6,105.8,65.1,0.053,-11.78,103.7,115.4,-9.17,1298.0,2026
142,Portland St.,BSky,20-10,1.85,104.0,102.2,67.9,0.025,-1.62,110.4,112.0,1.88,1340.0,2026
143,Troy,SB,22-11,1.73,110.9,109.2,64.9,0.024,-2.9,108.1,111.0,4.54,1407.0,2026
144,Richmond,A10,15-16,1.71,111.8,110.1,67.8,-0.086,0.53,109.8,109.3,-8.75,1350.0,2026
145,Robert Morris,Horz,22-11,1.62,110.9,109.2,64.5,0.029,-4.27,109.4,113.7,-1.29,1352.0,2026
146,William & Mary,CAA,20-12,1.55,111.3,109.7,72.6,0.024,-1.67,108.7,110.4,0.78,1456.0,2026
147,Bowling Green,MAC,18-13,1.53,107.4,105.9,68.4,-0.079,-3.24,108.5,111.7,-5.91,1132.0,2026
148,Arkansas St.,SB,20-12,1.4,110.9,109.5,72.0,0.008,-3.49,107.6,111.1,3.13,1117.0,2026
149,Harvard,Ivy,17-11,1.34,107.7,106.4,63.1,0.002,-3.24,108.3,111.5,-4.73,1217.0,2026
150,Central Arkansas,ASun,22-12,1.22,110.4,109.2,68.0,0.041,-5.09,109.5,114.6,5.99,1146.0,2026
